Excluir,impressaoEtiqueta,D001_Id,D009_Id,D049_Id,D024_Id,foto,D001_Codigo_Barras,D001_Flag_Ativo,D001_Flag_Pre_Cadastro,D049_Flag_Curva_ABC,D049_Flag_Curva_ABC_Qtd,D001_Codigo_Barra1,D049_Modelo,D001_Aplicacao,"ifnull(D069_D070_Id,""_"")",validades,D049_Codigo_Produto,C008_Tipo,D060_Descricao_Grupo,D003_Nome_Linha,D002_Descricao_Produto,D082_Marca,D049_Origem_Mercadoria,NCM,D001_D005_Id,D037_Unidade,D009_Quantidade_Estoque,Pedido,D009_Quantidade_Estoque_Loja,D009_Quantidade_Estoque_Fora,D009_Quantidade_OP,D009_Valor_Custo_Unitario,ST,D049_Flag_Tipo,D004_Local,D024_Nome_Empresa,C004_Nome_Empresa,D001_Flag_Tipo,D009_IPV_1,C007_Primeiro_Nome,D009_C007_Id_Comprador,D009_Data_Alteracao_Custo,D009_Flag_Custo_Utilizado,D001_C008_Id,D001_D060_Id,D001_D003_Id,D001_D002_Id,D049_D024_Id,D001_C004_Id,D009_Origem_Mercadoria,D001_Flag_Ecommerce,D001_Flag_Etiqueta_Pedido,D001_Qte_Embalagem,D049_Flag_Nao_Comprar,D009A_Id,D009A_Ficha_Conteudo_Importacao,D001A_Id,linkImagem,D001_Cubagem_Unitaria,Etiqueta,D001_Codigo_Produto,D001_Descricao_Produto,D049_D082_Id,D001_D037_Id,D009_Quantidade_Estoque_Similar,D009_Quantidade_OC,infoCustoVendaProduto,D009_Data_Ultima_Entrada,D009_Data_Ultima_Venda,D001_Flag_Tipo_Item,D009A_Qtd_Liquida_Fora	+ D009_Quantidade_Estoque_Liquido,(D009_Quantidade_Estoque) + (D009A_Qtd_Fisica_Fora),D001A_Quantidade_Estoque_Tray,D001_Peso_Unitario_Kg,D009_Preco_1,D001_Peso_Unitario_Bruto,D001_Quantidade_Tributavel,D009_Preco_4
,,1050,2099,1050,463,,001050,S,N,D,D,,,,_,,,GERAL,GERAL,GERAL,GERAL,CAMPER,0,63079010-I,13107,PC,-5.00,-5.00,0.00,0.00,0.00000,1.03330,,CP,GERAL,CAMPER EQUIPAMENTOS DE PROTECAO LTDA - FILIAL,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,13,35,463,,,N,N,0.000,N,1061,,445,,0.000000,,3505,RESPIRADOR PFF2 S/ VALVULA VO CA: 38945 - CAMPER,13,3,0.00,0.00000,,0000-00-00,2026-04-30,00,-5.0000000,-5.0000000,0.00,0.000,1.5499500000,0.000,0.000,1.7566100000
,,477,953,477,,,000477,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,IMPERMEAVEL,TOTAL CAPAS,0,62014000-I,13112,PC,62.00,62.00,0.00,-66.00,0.00000,12.50000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,5,12,0,,,N,N,0.000,N,488,,2205,,0.000000,,1834-1,CAPA CHUVA AMARELA PVC CA: 47977  - TOTAL CAPAS G,63,3,172.00,90.00000,,2026-04-29,2026-05-18,00,-4.0000000,-4.0000000,0.00,0.000,18.7500000000,0.000,0.000,21.2500000000
,,506,1011,506,584,,000506,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,COURO,SB LUVAS,0,42032900-I,13108,PR,2.00,2.00,0.00,-6.00,0.00000,123.98000,,CP,GERAL,SOPKO IND. E COMERCIO DE LUVAS LTDA,,COMPRADO,0.0000,,0,2025-04-29 00:00:00,MA,1,1,5,13,584,,,N,N,0.000,N,517,,2326,,0.000000,,1842-3,CASACO RASPA SOLDADOR CA: 45955 - AMM G,50,1,0.00,0.00000,,2025-08-12,2026-01-23,00,-4.0000000,-4.0000000,0.00,0.000,185.9700000000,0.000,0.000,210.7660000000
,,615,1229,615,,,000615,S,N,D,D,,,,_,,,GERAL,GERAL,GERAL,GERAL,UVEX,2,48182000-I,13133,CX,-3.00,-3.00,0.00,0.00,0.00000,36.72000,ST,CP,GERAL,,,COMPRADO,0.0000,,0,2026-05-15 00:00:00,U,1,1,13,35,0,,,N,N,0.000,N,626,,4501,,0.000000,,694,LENCO P/LIMPEZA DE OCULOS 280PC - UVEX,65,4,0.00,2.00000,,2026-05-15,2026-05-15,00,-3.0000000,-3.0000000,0.00,0.000,55.0800000000,0.000,0.000,62.4240000000
,,2042,4242,2108,,,002022,S,N,D,D,,,,_,,,GERAL,GERAL,GERAL,,MSA,5,65070000-I,13141,PC,0.00,0.00,0.00,-2.00,0.00000,51.43000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,U,1,1,13,0,0,,,N,S,0.000,N,4015,,6150,,0.000000,,1654-2,CAPACETE COM JUGULAR MSA CA:498 -  VERDE,73,3,-5.00,0.00000,,2026-05-06,0000-00-00,00,-2.0000000,-2.0000000,0.00,0.000,77.1450000000,0.000,0.000,84.8595000000
,,267,533,267,,,000267,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,BOTINA,BELLGA,0,64051010-I,13105,PR,0.00,0.00,0.00,-3.00,0.00000,49.20000,,CP,GERAL,,,COMPRADO,0.0000,,0,2025-11-10 00:00:00,MA,1,1,7,10,0,,,N,N,0.000,N,48,,6276,,0.000000,,1718-45,BOTINA ELASTICO BICO PVC TSA-PR CA:44696 - BELLGA - 45,10,1,760.00,20.00000,,2025-08-12,2026-05-04,00,-3.0000000,-1.0000000,0.00,0.000,73.8000000000,1.000,0.000,83.6400000000
,,1277,2546,1272,463,,001270,S,N,D,D,,,,_,,,GERAL,GERAL,PROTECAO AUDITIVA,CONCHA,CAMPER,0,39269090-I,13109,PC,67.00,67.00,0.00,-68.00,0.00000,12.31391,ST,CP,GERAL,CAMPER EQUIPAMENTOS DE PROTECAO LTDA - FILIAL,,COMPRADO,0.0000,,0,2025-09-16 00:00:00,U,1,1,2,3,463,,,N,N,0.000,N,2467,,77,,0.000000,,3582,ABAFADOR CONCHA SOFT SLIM 18DB C-200 CA:33135 - CAMPER,13,3,0.00,210.00000,,2025-09-16,2026-05-04,00,-1.0000000,-1.0000000,0.00,0.000,18.4708650000,0.000,0.000,20.9336470000
,,1705,3553,1767,,,001698,S,N,D,D,,,,_,,,GERAL,GERAL,GERAL,GERAL,NACIONAL,1,62160000-I,13138,PR,0.00,0.00,0.00,-1.00,0.00000,165.00000,,CP,GERAL,,,COMPRADO,0.0000,,0,2025-07-03 00:00:00,MA,1,1,13,35,0,0,,N,S,0.000,N,3365,,3801,,0.000000,,4825,LUVA RESISTENTE A ALTA TEMPERATURA - 500 GRAUS - GAMILUVA,40,1,0.00,0.00000,,0000-00-00,0000-00-00,00,-1.0000000,-1.0000000,0.00,0.000,247.5000000000,0.000,0.000,280.5000000000
,,23,45,23,,,000023,S,N,D,D,,,,_,,,GERAL,GERAL,GERAL,GERAL,MAVARO,0,34029090-I,13167,PC,2.00,2.00,0.00,-2.00,0.00000,20.00000,,CP,GERAL,,,COMPRADO,1.0000,,0,0000-00-00 00:00:00,MA,1,1,13,35,0,,,N,N,0.000,N,108,,3900,,0.000000,,35021,LIQUIDO ANTI EMBACANTE 500ML - MAVARO,96,3,98.00,0.00000,,2025-08-12,2025-03-24,00,0.0000000,0.0000000,0.00,0.000,30.0000000000,0.000,0.000,34.0000000000
,,29,57,29,604,,000029,S,N,D,D,,,,_,,,GERAL,GERAL,GERAL,GERAL,JLM,0,42032900-I,13108,PC,20.00,20.00,0.00,-20.00,0.00000,97.50000,,CP,GERAL,JLM - ARTEFATOS DE COUROS LTDA,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,13,35,604,,,N,N,0.000,N,114,,1821,,0.000000,,25921,AVENTAL BARBEIRO 120X80 CA: 21572 - AMM,25,3,0.00,15.00000,,2025-08-12,2025-09-30,00,0.0000000,0.0000000,0.00,0.000,146.2500000000,0.000,0.000,165.7500000000
